순위,제목,가수,앨범
1,WSG워너비 (가야G),그때 그 순간 그대로 (그그그),"그때 그 순간 그대로 (그그그)


WSG워너비 (가야G)WSG워너비 (가야G)"
2,WSG워너비 (4FIRE),보고싶었어,"보고싶었어


WSG워너비 (4FIRE)WSG워너비 (4FIRE)"
3,NewJeans,Attention,"Attention


NewJeansNewJeans"
4,IVE (아이브),LOVE DIVE,"LOVE DIVE


IVE (아이브)IVE (아이브)"
5,ITZY (있지),SNEAKERS,"SNEAKERS


ITZY (있지)ITZY (있지)"
6,나연 (TWICE),POP!,"POP!


나연 (TWICE)나연 (TWICE)"
7,싸이 (PSY),That That (prod. & feat. SUGA of BTS),"That That (prod. & feat. SUGA of BTS)


싸이 (PSY)싸이 (PSY)"
8,임영웅,사랑은 늘 도망가,"사랑은 늘 도망가


임영웅임영웅"
9,(여자)아이들,TOMBOY,"TOMBOY


(여자)아이들(여자)아이들"
10,BIG Naughty (서동현),정이라고 하자 (Feat. 10CM),"정이라고 하자 (Feat. 10CM)


BIG Naughty (서동현)BIG Naughty (서동현)"
11,NewJeans,Hype boy,"Hype boy


NewJeansNewJeans"
12,임영웅,우리들의 블루스,"우리들의 블루스


임영웅임영웅"
13,10CM,그라데이션,"그라데이션


10CM10CM"
14,경서,나의 X에게,"나의 X에게


경서경서"
15,aespa,Girls,"Girls


aespaaespa"
16,멜로망스,사랑인가 봐,"사랑인가 봐


멜로망스멜로망스"
17,소녀시대 (GIRLS' GENERATION),FOREVER 1,"FOREVER 1


소녀시대 (GIRLS' GENERATION)소녀시대 (GIRLS' GENERATION)"
18,임영웅,다시 만날 수 있을까,"다시 만날 수 있을까


임영웅임영웅"
19,볼빨간사춘기,Love story,"Love story


볼빨간사춘기볼빨간사춘기"
20,aespa,도깨비불 (Illusion),"도깨비불 (Illusion)


aespaaespa"
21,임영웅,무지개,"무지개


임영웅임영웅"
22,주호,내가 아니라도,"내가 아니라도


주호주호"
23,LE SSERAFIM (르세라핌),FEARLESS,"FEARLESS


LE SSERAFIM (르세라핌)LE SSERAFIM (르세라핌)"
24,BE'O (비오),LOVE me,"LOVE me


BE'O (비오)BE'O (비오)"
25,임영웅,이제 나만 믿어요,"이제 나만 믿어요


임영웅임영웅"
26,WSG워너비,눈을 감으면,"눈을 감으면


WSG워너비WSG워너비"
27,임영웅,아버지,"아버지


임영웅임영웅"
28,임영웅,손이 참 곱던 그대,"손이 참 곱던 그대


임영웅임영웅"
29,BIGBANG (빅뱅),봄여름가을겨울 (Still Life),"봄여름가을겨울 (Still Life)


BIGBANG (빅뱅)BIGBANG (빅뱅)"
30,임영웅,A bientot,"A bientot


임영웅임영웅"
31,WSG워너비 (오아시소),Clink Clink (클링 클링),"Clink Clink (클링 클링)


WSG워너비 (오아시소)WSG워너비 (오아시소)"
32,임영웅,사랑해 진짜,"사랑해 진짜


임영웅임영웅"
33,선미,열이올라요 (Heart Burn),"열이올라요 (Heart Burn)


선미선미"
34,임영웅,인생찬가,"인생찬가


임영웅임영웅"
35,김민석 (멜로망스),취중고백,"취중고백


김민석 (멜로망스)김민석 (멜로망스)"
36,임영웅,연애편지,"연애편지


임영웅임영웅"
37,임영웅,사랑역,"사랑역


임영웅임영웅"
38,임영웅,보금자리,"보금자리


임영웅임영웅"
39,IVE (아이브),ELEVEN,"ELEVEN


IVE (아이브)IVE (아이브)"
40,임영웅,사랑해요 그대를,"사랑해요 그대를


임영웅임영웅"
41,이석훈,바보에게 바보가 (웹툰 '연애의 발견' X 이석훈),"바보에게 바보가 (웹툰 '연애의 발견' X 이석훈)


이석훈이석훈"
42,WINNER,I LOVE U,"I LOVE U


WINNERWINNER"
43,경서예지,다정히 내 이름을 부르면,"다정히 내 이름을 부르면


경서예지, 전건호경서예지, 전건호


아티스트명 더보기


경서예지
전건호"
44,Charlie Puth,Left and Right (Feat. Jung Kook of BTS),"Left and Right (Feat. Jung Kook of BTS)


Charlie Puth, 정국, 방탄소년단Charlie Puth, 정국, 방탄소년단


아티스트명 더보기


Charlie Puth
정국
방탄소년단"
45,이무진,신호등,"신호등


이무진이무진"
46,Red Velvet (레드벨벳),Feel My Rhythm,"Feel My Rhythm


Red Velvet (레드벨벳)Red Velvet (레드벨벳)"
47,방탄소년단,Yet To Come,"Yet To Come


방탄소년단방탄소년단"
48,주시크 (Joosiq),아무래도 난,"아무래도 난


주시크 (Joosiq)주시크 (Joosiq)"
49,#안녕,해요 (2022),"해요 (2022)


#안녕#안녕"
